# Метеостанция Харьков (аэропорт), Украина, WMO_ID=34300, выборка с 31.12.2015 по 01.01.2017, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ua ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ua/archive.php?wmo_id=34300&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Харькове (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
28.12.2016 23:00;0.5;748.3;762.8;01.���;94;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;10.0;-0.3;;;;;;
28.12.2016 20:00;0.3;746.4;760.9;01.���;94;Ветер, дующий с юго-запада;2;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Дождь.;;01.���;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;5.0;-0.5;0.6;12;;;;
28.12.2016 17:00;0.8;744.5;759.0;01.���;94;Ветер, дующий с юго-запада;3;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Дождь.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;10.0;0.0;;;;;;
28.12.2016 14:00;01.���;742.9;757.3;0.8;87;Ветер, дующий с юго-юго-запада;5;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Дождь.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-0.5;Следы осадков;6;;;;
28.12.2016 11:00;01.���;742.1;756.5;0.4;89;Ветер, дующий с юго-юго-запада;7;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-0.5;;;;;;
28.12.2016 8:00;1.0;741.7;756.1;0.3;90;Ветер, дующий с юго-юго-запада;5;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.8;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;10.0;-0.4;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;11.0
28.12.2016 5:00;0.2;741.4;755.8;-0.6;92;Ветер, дующий с юга;4;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;100-200;;;10.0;-0.9;;;;;;
28.12.2016 2:00;-0.1;742.0;756.4;-0.7;90;Ветер, дующий с юга;6;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-1.5;;;;;;
27.12.2016 23:00;-0.2;742.7;757.2;-0.6;90;Ветер, дующий с юго-юго-запада;5;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-1.6;;;;;;
27.12.2016 20:00;-1.8;743.3;757.9;0.2;94;Ветер, дующий с юго-запада;4;;;40%.; ;;;;01.���;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-2.6;2.0;12;;;;
27.12.2016 17:00;01.���;743.1;757.5;0.5;94;Ветер, дующий с юго-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;0.4;;;;;;
27.12.2016 14:00;0.2;742.6;757.0;-0.6;94;Ветер, дующий с юго-запада;4;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Дождь со снегом или другими видами твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;100-200;;;10.0;-0.6;2.0;6;;;;
27.12.2016 11:00;-0.4;743.2;757.7;-1.3;96;Ветер, дующий с юго-юго-запада;8;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";70 – 80%.;100-200;Высокослоистые непросвечивающие или слоисто-дождевые.;;01.���;-1.0;;;;;;
27.12.2016 8:00;-0.8;744.5;759.1;-2.3;93;Ветер, дующий с юга;9;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-0.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;02.���;-1.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;11.0
27.12.2016 5:00;-0.8;746.8;761.4;-2.3;89;Ветер, дующий с юго-юго-запада;8;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-2.4;;;;;;
27.12.2016 2:00;-0.7;749.1;763.7;-1.3;90;Ветер, дующий с юго-юго-запада;8;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-2.2;;;;;;
26.12.2016 23:00;-0.7;750.4;765.1;-0.9;90;Ветер, дующий с юго-запада;7;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-2.2;;;;;;
26.12.2016 20:00;-0.7;751.3;766.0;-0.8;95;Ветер, дующий с юго-юго-запада;4;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-0.7;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;5.0;-1.4;;;;;;
26.12.2016 17:00;-1.4;752.1;766.8;0.5;94;Ветер, дующий с юго-юго-запада;2;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;04.���;-2.2;;;;;;
26.12.2016 14:00;-1.4;751.6;766.3;0.1;94;Ветер, дующий с юго-юго-запада;4;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;4.0;-2.2;;;;;;
26.12.2016 11:00;-2.2;751.5;766.3;1.0;94;Ветер, дующий с юго-запада;2;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;03.���;-3.1;;;;;;
26.12.2016 8:00;-3.0;750.5;765.3;01.���;95;Ветер, дующий с юга;2;;;100%.;Дымка. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.1;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;02.���;-3.7;0.5;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
26.12.2016 5:00;-3.0;749.1;763.9;0.5;93;Ветер, дующий с юга;2;;;100%.;Дымка. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;200-300;;;4.0;-4.0;;;;;;
26.12.2016 2:00;-3.1;748.6;763.3;0.5;93;Ветер, дующий с юга;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";70 – 80%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-4.1;0.3;6;;;;
25.12.2016 23:00;-2.6;748.1;762.8;0.4;93;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;10.0;-3.6;;;;;;
25.12.2016 20:00;-2.7;747.7;762.4;0.0;93;Ветер, дующий с юга;3;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.6;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;4.0;-3.7;Следы осадков;12;;;;
25.12.2016 17:00;-2.6;747.7;762.4;-0.4;98;Ветер, дующий с юго-юго-востока;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Снег и/или другие виды твердых осадков;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;100-200;;;5.0;-2.9;;;;;;
25.12.2016 14:00;-2.8;748.1;762.8;-1.4;97;Ветер, дующий с юго-юго-востока;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Морось.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;4.0;-3.2;Следы осадков;6;;;;
25.12.2016 11:00;-3.0;749.5;764.3;-0.4;97;Ветер, дующий с юга;4;;;100%.;Морось замерзающая слабая. ;Морось.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;5.0;-3.4;;;;;;
25.12.2016 8:00;-2.7;749.9;764.7;-1.3;93;Ветер, дующий с юга;4;;;100%.; ;;;-2.7;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;10.0;-3.7;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;10.0
25.12.2016 5:00;-2.1;751.2;766.0;-1.2;94;Ветер, дующий с юга;3;;;100%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;10.0;-3.0;;;;;;
25.12.2016 2:00;-1.4;752.4;767.1;-0.9;94;Ветер, дующий с юго-юго-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;4.0;-2.2;;;;;;
24.12.2016 23:00;-0.7;753.3;768.0;-0.4;95;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;200-300;;;5.0;-1.4;;;;;;
24.12.2016 20:00;-0.2;753.7;768.4;-0.3;96;Ветер, дующий с севера;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-0.2;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;03.���;-0.8;;;;;;
24.12.2016 17:00;-0.8;754.0;768.7;-0.3;97;Ветер, дующий с западо-северо-запада;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;04.���;-1.2;;;;;;
24.12.2016 14:00;-1.4;754.3;769.1;-0.3;96;Ветер, дующий с северо-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;4.0;-1.9;;;;;;
24.12.2016 11:00;-2.0;754.6;769.4;0.3;98;Ветер, дующий с западо-северо-запада;2;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;03.���;-2.3;;;;;;
24.12.2016 8:00;-3.5;754.3;769.2;0.1;96;Ветер, дующий с западо-северо-запада;2;;;100%.;Дымка.  Диаметр смешанного отложения составляет 14 мм.;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;04.���;-4.0;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;10.0
24.12.2016 5:00;-3.9;754.2;769.1;-0.5;96;Ветер, дующий с западо-северо-запада;2;;;100%.;Морось (незамерзающая) или снежные зерна неливневые. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;03.���;-4.4;;;;;;
